"Customer Care Request: Request Number","Reason for Request"
"R05190080102","reshipping order per case"
"R05190080389","reshipping order per case"
"R05190080399","reshipping order per case"
"R05190080432","reshipping order per case"
"R05190080783","reshipping order per case"
"R05190078450","reshipping order per case"
"R05190079694","reshipping order per case"
"R05190079718","reshipping order per case"
"R05190080280","reshipping order per case"
"R05190080634","Reshipping order per case"
"R05190080656","reshipping order per case"
"R05190080659","reshipping order per case"
"R05190080759","reshipping order per case"
"R05190077716","Reshipping order per case"
"R05190077830","reshipping order per case"
"R05190077858","reshipping order per case"
"R05190079079","reshipping order per case"
"R05190079095","reshipping order per case"
"R05190079919","reshipping order per case"
"R05190079953","reshipping order per case"
"R05190080546","reshipping order per case"
"R05190080545","reshipping order per case"
"R05190077781","reshipping order per case"
"R07190086816","reshipping order per case"
"R06190081336","reshipping order per case"
"R06190081326","reshipping order per case"
"R06190081126","reshipping order per case"
"R06190081146","reshipping order per case"
"R06190081151","reshipping order per case"
"R06190081156","reshipping order per case"
"R06190081178","reshipping order per case"
"R06190081194","reshipping order per case"
"R06190081196","reshipping order per case"
"R06190081217","reshipping order per case"
"R06190081207","reshipping order per case"
"R06190081389","reshipping order per case"
"R06190081397","reshipping order per case"
"R06190081435","reshipping order per case"
"R02190068579","reshipping order per case"
"R05190078500","reshipping order  - per case"
"R01190066190","reshipping order per case / QA"
"R01190065776","reshipping order per case 02187023"
"R02190067745","reshipping order per case 02217651"
"R04190076192","reshipping order per case 02365672"
"R04190076018","reshipping order per case 02367023"
"R04190076663","reshipping order per case 02380426"
"R04190076871","reshipping order per case 02385068"
"R05190077149","reshipping order per case 02393618 - client is aware of the OOS - please send when back in stock"
"R05190077266","Reshipping order per case 02395130"
"R05190077712","reshipping order per case 02403627"
"R05190077981","reshipping order per case 02411089"
"R05190078285","reshipping order per case 02417537"
"R05190078318","reshipping order per case 02417775"
"R02190067071","reshipping order per case - see case note"
"R03190070489","reshipping order per case - to the clinic"
"R03190071982","reshipping order per QA"
"R01190064096","reshipping order per QA"
"R01190064281","reshipping order per QA"
"R01190065233","reshipping order per QA"
"R01190066061","reshipping order per QA case"
"R04190073632","reshipping order per QA case"
"R03190070860","reshipping order per QA case"
"R04190075015","reshipping order per QA case"
"R04190075023","reshipping order per QA case"
"R04190075903","Reshipping order per QA case"
"R04190075906","reshipping order per QA case"
"R01190066560","reshipping order per QA  case"
"R01190064662","reshipping order per QA  case"
"R03190070890","reshipping order per QA  case"
"R01190064031","reshipping order per QA - case"
"R04190075835","reshipping order per QA case 02362985"
"R04190076013","reshipping order per QA case 02366332"
"R03190069915","Reshipping order per qA  case - original order was delivered but not received"
"R04190075977","reshipping order per Q case"
"R06190081535","reshipping order pre case"
"R05190081001","reshipping order to be safe"
"R01190064061","reshipping order to client"
"R01190066471","reshipping order to client"
"R01190066617","reshipping order to client"
"R03190070287","reshipping order to client"
"R03190071415","reshipping order to client"
"R04190074550","reshipping order to client"
"R05190078008","reshipping order to client"
"R05190079051","reshipping order to client"
"R05190079917","reshipping order to client"
"R04190075652","Reshipping order to client - delivered but not received"
"R06190081243","reshipping order to client in FL"
"R01190063791","reshipping order to client per case"
"R05190077198","reshipping order to client per case"
"R04190073348","reshipping order to client per case"
"R05190077446","reshipping order to client per case"
"R05190077979","reshipping order to client  - see case"
"R05190077999","Reshipping - order was flagged and shipped incorrectly"
"R01190064105","reshipping per case"
"R01190065403","reshipping per case"
"R02190066987","reshipping per case"
"R03190071055","reshipping per case"
"R03190071061","reshipping per case"
"R02190069828","reshipping per case"
"R04190073393","reshipping per case"
"R04190074209","reshipping per case"
"R04190075053","reshipping per case"
"R05190077380","reshipping per case"
"R05190078223","Reshipping per case"
"R05190079715","REshipping per case - 02438785"
"R05190079709","reshipping per per case"
"R02190069416","reshipping per QA - original delivered but never received"
"R05190077411","reshipping per Royal Canin for palatability"
"R05190079479","Reshipping per Royal Canin Tech Issue"
"R06190084322","Reshipping per the case notes 02543239"
"R04190073911","Reshipping signature required to ensure delivery to client"
"R04190073643","reshipping single dose to client per case"
"R04190076588","reshipping syringes, see case"
"R06190081769","reshipping syringes due to defective clickdose pen"
"R04190076405","reshipping syringes see case"
"R01190063742","reshipping the 5mg per case"
"R04190073128","reshipping the bottle per the case"
"R01190063744","reshipping the comfortis"
"R02190067731","reshipping the comfortis"
"R03190070226","reshipping the correct order"
"R04190073212","Reshipping the food, the shipping address was correct, but the food got sent to an Address in TN instead of SC"
"R02190067952","reshipping the Gabapentin - per case"
"R06190082139","reshipping the HG"
"R01190065402","reshipping the order per case"
"R02190067417","reshipping the order per case"
"R05190077940","reshipping the order per case"
"R01190064875","reshipping the order per QA  case"
"R04190075695","reshipping the order per the case"
"R01190064557","reshipping the order to the client"
"R05190078632","reshipping the product prer case"
"R04190075805","reshipping the rest of the original order"
"R02190068748","reshipping the smaller dose per case 02232191"
"R03190072340","reshipping the Vetsulin to client"
"R04190076343","reshipping Trazodone Tabs per case"
"R03190072785","reshipping two doses to  client"
"R07190086020","Reshipping vetsulin due to carrier issue"
"R04190074081","return by client, client paid shipping charges"
"R05190078315","return by client - client paid shipping no other notes"
"R05190080165","return by client no note client paid shipping"
"R03190070329","return by client who paid shipping charges to send back noted  reorder new and correct size with order 1000008345014"
"R03190072169","returned to shipping via fedex"
"R12180062365","Returning both products per case - potentially incorrect labeling - reshipping client a new order"
"R01190064198","Return of this product client stated he would refuse product and dispute charge if he received. rerouted and waiting return. Refund is for product and shipping charge."
"R05190078919","Return reqeusted for product sent to the clinic. The clinic was also charged for shipping of 5.30 and would like to be refunded"
"R03190071440","return to sender, looks like usps. see attach pictures unable to resell create a shipping qa"
"R06190081859","Royal Canin packed wrong item. Reshipping."
"R04190074242","see case  - missing order - reshipping per QA"
"R05190077846","see case - refunding shipping"
"R01190063567","see case - reshipping order to client"
"R05190078322","send back from client- client paid shipping status this product should be 51-100 lbs thanks"
"R05190077475","SEND BACK OUT TO 3455 Tivola Street, Santa Ynez, CA 93460 VIA ND SHIPPING
If possible, include to leave it inside the wire gate at the front entry."
"R05190078161","Send order back out to client with NDA  shipping"
"R07190086440","Sent wrong strength. Reshipping as corrected strength."
"R01190063453","she's already signed up for the autoship but she was charged shipping- she didn't mean to place the order without the AS setting. refund shipping"
"R04190074365","She is set up on auto shipping for Hill's® Prescription Diet® Dog z/d® 25lb Bag. She should have been charged $82.36. She was charged the price of the one time only $102.95. She also had a coupon SPRINGTEN that she wanted to use."
"R01190066394","she ordered the wrong food. she ordered the regular version of this food when she should have ordered the savory selects version. reshipping for the same kind of food, just the savory selects version"
"R01190064127","she received someone else's food. reshipping correct food"
"R01190064316","she was charged for the NDS but she didn't mean  to pay for that, she wanted the 3-5 day shipping for free. Refunding for the shipping charge"
"R01190064677","Shipped 2nd day paid for next day Per Angela refunding shipping cost"
"R07190086329","Shipped on 3rd received on 8th temp sen item. Refund shipping cost and will reship."
"R04190074947","Shipped USPS 9400110205492014256616 -- Returned to us -- Updated address to resend the package (see in notes) NexGard® Chewables for Dogs Blue 10.1 - 24.0lbs 3pk -- Upgrade shipping for free to 1-2 day shipping"
"R01190065642","shipping 3-5 day"
"R08180049502","Shipping address not validated awaiting client responce to update address please hold until verified."
"R07190085831","Shipping being refunded due to insulin arriving to them warm"
"R01190065131","Shipping charge"
"R03190070994","Shipping charge - employee order."
"R03190070969","Shipping charge error"
"R05190078462","Shipping charge for AS."
"R02190068862","Shipping charge for being lost in transit"
"R02190069638","Shipping charge for Methimazole. ONE TIME courtesy. Client is aware this is one time."
"R04190076837","Shipping charge on employee order"
"R06190081921","Shipping cost for employee order"
"R07190085978","Shipping cost - temp sensitive item was delayed in transit."
"R01190063598","Shipping - courtesy"
"R01190065982","shipping delay"
"R01190066130","shipping delay"
"R03190072435","shipping delay"
"R05190077402","Shipping delay"
"R06190083293","shipping delay"
"R01190064848","Shipping delay, courtesy"
"R03190070379","Shipping Delay. Courtesy coupon"
"R05190080500","Shipping delay. Refund expedited shipping cost per team lead."
"R01190064695","shipping delay 20% refund"
"R01190064606","Shipping delay 6th bd 20% refund"
"R07190085896","Shipping delay over 4th"
"R01190065084","Shipping delay reduced the number of doses available due to shortened BUD.
DVM ordered client to administered the antibiotic for 30 days.
A 30 day supply was dispensed and four days of therapy were lost and client was not aware of short BUD issue."
"R03190071589","shipping delay refund - 10%"
"R07190085881","shipping delays"
"R02190066911","shipping delays - 15%"
"R07190087681","shipping error"
"R07190085893","shipping error 7/3"
"R07190086356","Shipping error - Client did not receive"
"R05190077971","Shipping error - different client got his package"
"R04190073234","shipping error on food approved per Emily M"
"R05190079503","shipping error on last order"
"R01190065995","shipping exception"
"R01190065464","shipping fee"
"R02190069183","shipping fee"
"R02190069222","shipping fee due to agent error"
"R06190081598","shipping fee - escalation"
"R06190081884","Shipping fee wasn't waived as promised."
"R07190085897","Shipping issue"
"R04190076180","shipping issue"
"R04190076622","shipping issue"
"R05190079948","Shipping issue"
"R03190071622","Shipping Issue, owner has too many chews due to autoship and delayed shipping of previous order."
"R07190086717","shipping issue, UPS sates that it was picked up at hills and then delivered with no other information."
"R05190079167","shipping issue. Per April L refunding the shipping 19.95"
"R01190065561","Shipping Issue -- Client Got Another Client's Food"
"R01190065257","Shipping Issue -- Client Got Another Client's Order"
"R05190080273","Shipping issue - client got the wrong food, got cat food"
"R06190081486","Shipping issue - client reordered."
"R04190075887","Shipping issue - delivered never received"
"R01190063558","Shipping issue - last order was delivered never received"
"R04190074921","shipping issues, refunding the shipping per angela"
"R05190078834","Shipping method was changed to priority mail because the address has a physical and a PO Box. Meds delivered days late."
"R01190065907","shipping order to client - original order was delivered but not received"
"R07190087361","shipping refund"
"R02190068170","shipping refund"
"R12180062775","shipping refund, did not go ND, went USPS"
"R05190077189","Shipping refund."
"R06190081255","shipping refund (per jenae)"
"R06190081296","Shipping refund approved per lead Angela, transit time exceeded"
"R06190081830","Shipping refund as courtesy"
"R07190085817","Shipping refund due to item being delayed in transit."
"R01190066693","shipping refund due to lost package"
"R05190080149","Shipping refund due to shipping delay. Lead approved."
"R02190069458","Shipping taking too long. Per heidi ""the order late Thursday, we processed the order and it got shipped out after hours on Friday. shipping is today and with delivery for tomorrow"
"R01190066659","Shipping was entered incorrectly on RxEntry and owner was charged for 2 day shipping when the request was ground shipping at no charge. Please refund shipping charges."
"R04190074247","Shipping was paid but there was a week delay in pending Auth; shipping refund approved per lead Emily for CSAT"
"R05190080066","Shipping will be delivered outside the 1-2 business days per Jenae refunding for shipping of $19.95"
"R02190068511","Short-dated capsules. Only able to use 8 out of 30 prior to expiration. Reshipping 22 caps."
"R05190080753","should not have charged for the next day air shipping."
"R06190082711","spilled out during shipping"
"R05190079967","Spoke with the client update shipping address
710 Suzette Drive
Ococee
Florida
34761"
"R01190065586","still has not received order from 1/9/19 reshipping per Cory"
"R06190081849","Supervisor approved a refund for $10 for this order because the vet just authorized it yesterday and the customer just wanted a refund for the shipping"
"R04190073137","Supervisor approved to have the shipping fee waived. The Client is not happy with the austoship not covering the shipped fee. I offered to waive fee as a one time courtesy."
"R05190079487","SW client about delay on order due to looping order. Per pharmacy will refund cost of shipping."
"R04190074003","SW Hilary Manuel (clinic AM) in regards to Dr. Pierce emailing her about Martye's order. Asked us to refund the shipping costs for the client, which was approved by Courtney."
"R01190065489","SW Morgan/clinic, they were charged $19.95 for next day shipping however they did not request next day shipping on this order"
"R04190075873","SW UPS Unable to reroute order Reshipping product to clinc."
"R03190072333","Tech issues caused delay in compounding order. Refunding cost of shipping."
"R06190082844","Technical issue w/ the order once at ship ready status, cc was captured but the order had to be cancelled. The owner placed another order online and that was upgraded w/ free nd shipping"
"R07190085877","Temp sens. item shipping issue. Refund shipping"
"R07190085880","Temp sens. item- shipping issue w/holiday and weekend"
"R07190085716","Temp sens. shipping error"
"R07190086043","Temp sensitive item had delayed shipping."
"R07190085556","temp sensitive item in transit for 5 days, refunding shipping"
"R07190085683","Temp sensitive shipping- item shipped over holiday and weekend."
"R07190087275","the address on package does not have apt number, please ship back out to 6855 Byron Ave #A12, Miami Beach, Florida 33141 with 1-2 business day shipping"
"R03190073014","the client called escalated about the shipping fee  please honor per angela"
"R07190085298","The client  called to track her order but it looks like they sent out her syringes before they sent her insulin per heidei honor a refund for the  14.95  for the shipping"
"R03190072271","the client is autoship but placed the order for the one time only and was charged shipping per jenane refund shipping cost"
"R12180061021","The client requested ground shipping and was charged $14.95 for 2 day"
"R05190078351","The clinic called back to change the address of two orders but only one of the two order where changed. Reshipping to the Correct address."
"R03190071900","The order is a will call, so no shipping involve. Refunding charge for shipping cost."
"R03190070713","The order was placed on 03.03.19. Client paid for the 2-3 day shipping. Per notes in DVM there was some confusion on the dosing instructions and the client still has not received the order. The order as on 03.08.19 is now in a PV1_Ready."
"R05190077337","the order was shipped to the incorrect client, who called to let us know. reshipping order for cx"
"R05190077726","the pharamacist does not have any note about overnight shipping"
"R02190068347","There was a glitch in the system - she updated her CC and the system sent out 2 of the same item - delivered on 2/14. She is returning it and would like full refund. Per Cory we are refunding her an additional $5 as she refused to pay for return shipping."
"R02190069027","The shipping address on the package was incorrect. Per the USPS they did send the package back to us on 2.8.19. Client would like for the item to be reshipped to her once we receive the item back in our warehouse."
"R03190070942","The USPS sent the order back to our Omaha warehouse due to incomplete address on the shipping label. Client called and verified the address and the address we shipped it to was the correct address. Client would like to have this sent back out"
"R04190076579","they don't need the bravecto per Priscilla.  Per Heidi per Tim they pulled the Bravecto and I closed the bravecto shipping since there was food on the order."
"R02190068444","This client got another clients order, reshipping her order."
"R04190074929","this client got there order plus another clients order (Denna Wright for Jake) her order is in ship_ready
Please send this client shipping label to retrieve Denna's order"
"R02190067354","This is a refund for shipping charge since ""agent promised sat deliver"""
"R04190076748","This is a reship per shipping issue with Purina"
"R05190079751","this order ended up going to another clients address (jsbirnstengel@yahoo.com). Reshipping at no charge"
"R06190082736","This order is being returned to us due to an invalid shipping address. Please ship back out once the item is returned to us."
"R06190081704","This order shipped out to USPS first class due to no response from client for the expedite shipping. Refunding the cost since it did not ship that method."
"R05190080359","This order was returned to us due to the wrong city on the shipping label. The address has been verified and the client would like this shipped back out. Please expedited shipping if possible."
"R07190084967","Tracking did not update/was not received on time. Refunding shipping as a courtesy"
"R02190069585","Tracking shows as pending on Fedex side will refund for shipping paid due to delay"
"R07190085911","Tracking through UPS says they could not locate shipment details. Reshipping per Cory."
"R05190080168","Tramadol and Heartgard being returned to us. Per Pharmacists, reshipping."
"R02190067292","unable to ship due to blackout period, refunding next day shipping"
"R02190067291","unable to ship due to blackout period. Refunding shipping"
"R02190067293","unable to ship ND due to blackout period. Refudning shipping"
"R02190067295","unable to ship ND Due to blackout period. Refunding shipping cost"
"R02190067284","unable to ship Next Day due to blackout date. Refunding shipping as a courtesy"
"R02190067290","unable to ship next day due to blackout period. Refunding shipping"
"R02190067289","unable to ship next day due to blackout period. Refunding shipping as a courtesy"
"R02190067287","unable to ship order on 2/1, refunding shipping as courtesy"
"R04190074702","unable to ship to Puerto Rico, pulled by shipping crew after ship happen"
"R07190085359","Unclaimed. Client called back and confirmed shipping address is correct. Informed client of location of product. Said that the shipping address is correct. Said no one was in office due to July 4th holiday. Request order be sent back out."
"R05190077787","UPS delivered to the client's front door and she said UPS always delivers to her back door so she didn't think she received it, then she checked up front and raccoons ate the entire bag. Reshipping."
"R03190070998","Upset about shipping days not including Saturday."
"R06190083592","Ups is having difficulties locating this clients Address, this has delayed the shipping for her products. Client is very upset regarding the outcome of her delivery of her products. Refunding shipping costs for shipping issue."
"R07190087418","UPS lost dry dog food - reshipping"
"R04190073115","USPS contacted client to let them know that the address was invalid and they were shipping back to us. Please reship to address:

2909 North River Road
Fort Grotiot, MI 48059"
"R05190078148","USPS is returning to sender. Please send back out to client FedEx 1-2 business day shipping once received. Shipping address is still 1356 Geneva Ave, San Francisco, CA 94112"
"R03190072596","USPS returned to the pharmacy with a note ""Undeliverable without Zip"". There is a line through the shipping label where the zip is and it is unreadable. Sending order back out by FedEX"
"R02190068790","USPS tracking shows insuficiant address. client says that is not correct address is just fine. please sent out ASAP with Next day shipping."
"R05190077109","very upset b/c she paid for 2 day shipping on this order 1000009779529 but it took 5 days to reach her. Her dog died before the medication got there and she was wanting a full refund. Instead of the usual 10%, Jenae authorized 20% for the delayed shipping"
"R03190070161","Vet delayed authorization and it didn't ship timely. Refund per Anna on shipping."
"R05190078359","Vet has not approved order so it eve shipped. Pet is now out of medication. Escalated client - we are refunding the shipping cost once item ships. Created a verbal auth as well."
"R05190079338","Vet requested refund while client on the phone stated Aubrey informed her that shipping was delaying on our  , informed client order will still be sent but refund may take 7 business days"
"R07190086060","Vetsulin shipped on 7/3 and not received until 7/8 and unusable - as a courtesy refund for shipping"
"R07190085930","Vetsulin was delivered hot to the touch and icepacks in the container were melted. Reshipping per Angela Smith and Shalia Donaldson"
"R04190076452","Vet took too long and her ""next day shipping"" will almost be a week later now."
"R05190078158","Vials broken during shipping"
"R05190078326","VIP entered incomplete address on client acct when placing the In-Practice pay order for client. Product  being sent back to  Neb. Please send back out to client at 1920 NW 46th Lane, Ocala, FL 34475 (Updated on storefront) with expedited shipping at CVET"
"R02190066906","WAG agent replaced order with 10lb tub instead of 1lb tub as on original order. Refunding difference and shipping per Jenae"
"R01190063460","Wanted the 19.95 refunded, because the order was placed on Saturday we could not get it out until today, offered her half the shipping back as a courtesy."
"R04190075456","Wants refund of 4 cans crushed in shipping"
"R06190083263","warm part of the year not sure why client was charged 14.95 for shipping"
"R06190083420","was delayed for approval, client pick up some at clinic, ND shipping no longer needed. Can rfd and heidi said to update shipping method in dmv to USPS First Class"
"R06190081826","was supposed to be delivered Monday, but he didn't get it. He says he called back and we were supposed to reship it with expedited shipping and it should have been there today.  It isn't. Per Tim, refunding in full."
"R07190086496","website says shipping on autoship is free, but cx was charged due to a temp sensitive medication"
"R03190071175","We placed a reship for this package, please refund $19.95 shipping cost."
"R01190065466","We sent her the wrong mg strength of Previcox. Reshipping correct mg strength"
"R05190079860","We wrongly put into exceptions when they have always placed order for 60ml.  we are refunding ND shipping."
"R07190085112","when client placed original order told agent it needed to go expediting shipping and agent did not select /inform would have to pay extra for this/"
"R03190070413","Will call, please refund shipping"
"R02190069804","Will call, refund shipping"
"R04190073749","Will call got charged for shipping"
"R04190075881","will call order - refunding shipping cost"
"R03190070788","Wrong order sent, the client was sent dog food - reshipping"
"R02190066949","wrong product correct invoice  client aware of  shipping delay"
"R06190083155","Wrong product was originally reshipped by lead. Reshipping correct product."
"R03190070290","wrong strength was ordered(possibly) on Friday 99999900607852 and we replaced the order today with correct strength and ND shipping on us per Randi.  So the full amount is the 74.58"
"R02190067940","Zoetis sending replacement product to use. Reshipping 3 pack to client"
